Region,Holiday,Date,Day of the Week
United States (USA),New Year's Day,January 1 2025,Wednesday
United States (USA),Martin Luther King Jr. Day,January 20 2025,Monday
United States (USA),President's Day,February 17 2025,Monday
India,Id-ul-fitr (Ramzan),March 31 2025,Monday
India,Good Friday,April 18 2025,Friday
India,May Day / Maharashtra Day,May 1 2025,Thursday
United States (USA),Memorial Day,May 26 2025,Monday
United States (USA),Juneteenth,June 19 2025,Thursday
United States (USA),US July 4th Break,June 30 2025,Monday
United States (USA),US July 4th Break,July 1 2025,Tuesday
United States (USA),US July 4th Break,July 2 2025,Wednesday
United States (USA),US July 4th Break,July 3 2025,Thursday
United States (USA),Independence Day,July 4 2025,Friday
India,Independence Day,August 15 2025,Friday
United States (USA),Labor Day,September 1 2025,Monday
India,Dusshera,October 1 2025,Wednesday
India,Gandhi Jayanthi,October 2 2025,Thursday
United States (USA),Indigenous Peoples' Day,October 13 2025,Monday
India,Diwali / Laxmi Puja,October 20 2025,Monday
United States (USA),Veteran's Day,November 11 2025,Tuesday
United States (USA),Thanksgiving Day,November 27 2025,Thursday
United States (USA),Day After Thanksgiving,November 28 2025,Friday
United States (USA),Christmas Day,December 25 2025,Thursday
India,Company Year-End Shutdown,December 25 2025,Thursday
United States (USA),Company Year-End Shutdown,December 26 2025,Friday
India,Company Year-End Shutdown,December 26 2025,Friday
India,Company Year-End Shutdown,December 27 2025,Saturday
India,Company Year-End Shutdown,December 28 2025,Sunday
United States (USA),Company Year-End Shutdown,December 29 2025,Monday
India,Company Year-End Shutdown,December 29 2025,Monday
United States (USA),Company Year-End Shutdown,December 30 2025,Tuesday
India,Company Year-End Shutdown,December 30 2025,Tuesday
United States (USA),Company Year-End Shutdown,December 31 2025,Wednesday
India,Company Year-End Shutdown,December 31 2025,Wednesday
United States (USA),New Year's Day,January 1 2026,Thursday
